Model,RMSE,MAE,MAPE,R²
Avg (Ridge+CB),285.11,198.15,10.61,0.695
Avg (Ridge+CB+RF),283.25,201.04,10.7,0.699
Weighted Ensemble,281.73,203.47,10.9,0.703
Huber (ε=2.0),314.59,210.67,11.39,0.629
Avg (Huber+Ridge),333.41,223.89,12.19,0.583
CatBoost,281.44,227.54,12.93,0.703
Ridge (α=1),354.23,240.25,13.14,0.53
Random Forest,341.76,258.39,13.56,0.562
XGBoost,352.21,286.42,16.48,0.535
