spieltag,date,weekday,time,home_team,away_team,distance,season,datetime
45,2024-02-20,Tuesday,19.3,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,23-24,2024-02-20 19:03:00
50,2024-03-01,Friday,19.3,Grizzlys Wolfsburg,Kölner Haie,376.0,23-24,2024-03-01 19:03:00
51,2024-03-03,Sunday,14.0,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,23-24,2024-03-03 14:00:00
2,2024-09-22,Sunday,16.30,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,24-25,2024-09-22 16:30:00
3,2024-09-27,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,24-25,2024-09-27 19:30:00
6,2024-10-04,Friday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,24-25,2024-10-04 19:30:00
9,2024-10-13,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442.0,24-25,2024-10-13 16:30:00
11,2024-10-20,Sunday,14.00,Grizzlys Wolfsburg,Eisbären Berlin,228.0,24-25,2024-10-20 14:00:00
14,2024-10-31,Thursday,14.00,Grizzlys Wolfsburg,Adler Mannheim,442.0,24-25,2024-10-31 14:00:00
17,2024-11-17,Sunday,14.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,24-25,2024-11-17 14:00:00
18,2024-11-21,Thursday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,24-25,2024-11-21 19:30:00
20,2024-11-27,Wednesday,18.00,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,24-25,2024-11-27 18:00:00
21,2024-11-29,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376.0,24-25,2024-11-29 19:30:00
23,2024-12-06,Friday,13.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,24-25,2024-12-06 13:00:00
25,2024-12-13,Friday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,24-25,2024-12-13 19:30:00
27,2024-12-18,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,24-25,2024-12-18 19:30:00
29,2024-12-22,Sunday,14.00,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,24-25,2024-12-22 14:00:00
30,2024-12-26,Thursday,16.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,24-25,2024-12-26 16:30:00
34,2025-01-05,Sunday,16.30,Grizzlys Wolfsburg,Straubing Tigers,560.0,24-25,2025-01-05 16:30:00
36,2025-01-12,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,24-25,2025-01-12 14:00:00
38,2025-01-19,Sunday,16.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,24-25,2025-01-19 16:30:00
40,2025-01-26,Sunday,19.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,24-25,2025-01-26 19:00:00
41,2025-01-28,Tuesday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,24-25,2025-01-28 19:30:00
43,2025-02-02,Sunday,16.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,24-25,2025-02-02 16:30:00
45,2025-02-16,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,24-25,2025-02-16 14:00:00
47,2025-02-21,Friday,18.00 VW,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,24-25,2025-02-21 18:00:00
49,2025-02-28,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376.0,24-25,2025-02-28 19:30:00
51,2025-03-04,Tuesday,19.30,Grizzlys Wolfsburg,Straubing Tigers,560.0,24-25,2025-03-04 19:30:00
