Match_ID,Day,Date,Time,Home_Team,Away_Team,temp_c_avg,precip_mm_max,snow_cm_max,wind_kmh_max,weather_code_primary
1,Fri,2023-09-15,19:30,Grizzlys Wolfsburg,Augsburger Panther,18.435501,0.0,0.0,10.105681,0.0
2,Sun,2023-09-17,14:00,Pinguins Bremerhaven,Grizzlys Wolfsburg,26.260502,0.0,0.0,15.349684,2.0
3,Fri,2023-09-22,19:30,Grizzlys Wolfsburg,Straubing Tigers,16.2605,0.0,0.0,8.350138,3.0
4,Sun,2023-09-24,19:00,Schwenninger Wild Wings,Grizzlys Wolfsburg,17.2105,0.0,0.0,4.3349743,0.0
5,Fri,2023-09-29,19:30,ERC Ingolstadt,Grizzlys Wolfsburg,20.2105,0.0,0.0,16.299694,3.0
6,Sun,2023-10-01,16:30,Grizzlys Wolfsburg,Iserlohn Roosters,20.0105,0.0,0.0,13.905509,3.0
7,Tue,2023-10-03,14:00,Düsseldorfer EG,Grizzlys Wolfsburg,21.8855,0.0,0.0,30.513052,3.0
8,Fri,2023-10-06,19:30,Grizzlys Wolfsburg,Adler Mannheim,17.260502,0.0,0.0,25.872454,3.0
9,Sun,2023-10-08,14:00,Grizzlys Wolfsburg,Eisbären Berlin,14.5605,0.0,0.0,4.6938257,1.0
10,Fri,2023-10-13,19:30,EHC Red Bull München,Grizzlys Wolfsburg,21.7605,0.0,0.0,25.922499,2.0
11,Sun,2023-10-15,16:30,Grizzlys Wolfsburg,Löwen Frankfurt,9.460501,0.2,0.0,22.668568,51.0
12,Fri,2023-10-20,19:30,Grizzlys Wolfsburg,Kölner Haie,6.3105,0.8,0.0,22.19773,53.0
13,Sun,2023-10-22,14:00,Nürnberg Ice Tigers,Grizzlys Wolfsburg,14.810501,0.0,0.0,22.9724,1.0
14,Fri,2023-10-27,19:30,Düsseldorfer EG,Grizzlys Wolfsburg,9.6355,1.0,0.0,5.315336,55.0
15,Sun,2023-10-29,19:00,Grizzlys Wolfsburg,Iserlohn Roosters,13.2605,0.0,0.0,18.532135,3.0
16,Wed,2023-11-01,18:00,ERC Ingolstadt,Grizzlys Wolfsburg,12.0105,0.0,0.0,14.044615,3.0
17,Fri,2023-11-03,19:30,Nürnberg Ice Tigers,Grizzlys Wolfsburg,9.6355,0.0,0.0,16.73516,3.0
18,Sun,2023-11-05,14:00,Grizzlys Wolfsburg,Löwen Frankfurt,11.6105,3.9,0.0,16.418526,51.0
19,Thu,2023-11-16,18:00,Grizzlys Wolfsburg,Schwenninger Wild Wings,5.2855,0.0,0.0,9.0645685,3.0
20,Sat,2023-11-18,20:00,Eisbären Berlin,Grizzlys Wolfsburg,5.2605,1.0,0.0,14.973577,55.0
21,Fri,2023-11-24,19:30,Adler Mannheim,Grizzlys Wolfsburg,2.5855002,0.0,0.0,26.124195,3.0
22,Tue,2023-11-28,19:30,Kölner Haie,Grizzlys Wolfsburg,-0.98950005,0.0,0.0,8.587338,3.0
23,Fri,2023-12-01,19:30,Grizzlys Wolfsburg,Augsburger Panther,-2.0395,0.0,0.0,4.0249224,3.0
24,Sun,2023-12-03,19:00,Straubing Tigers,Grizzlys Wolfsburg,-0.3895,0.0,0.0,7.5170207,3.0
25,Fri,2023-12-08,19:30,EHC Red Bull München,Grizzlys Wolfsburg,1.7355,0.2,0.0,7.5170207,3.0
26,Sun,2023-12-10,14:00,Grizzlys Wolfsburg,Pinguins Bremerhaven,7.6855,0.3,0.0,29.795301,51.0
27,Fri,2023-12-15,19:30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,6.3605,0.3,0.0,16.203999,51.0
28,Sun,2023-12-17,19:00,Grizzlys Wolfsburg,ERC Ingolstadt,7.5105,0.0,0.0,23.263912,0.0
29,Thu,2023-12-21,19:30,Kölner Haie,Grizzlys Wolfsburg,5.2605,0.5,0.0,29.528778,53.0
30,Sat,2023-12-23,16:30,Grizzlys Wolfsburg,Adler Mannheim,3.4855,0.1,0.0,17.673029,51.0
31,Tue,2023-12-26,14:00,Eisbären Berlin,Grizzlys Wolfsburg,8.6605,0.1,0.0,31.810638,51.0
32,Thu,2023-12-28,19:30,Grizzlys Wolfsburg,EHC Red Bull München,8.7855,0.0,0.0,21.892027,3.0
33,Sat,2023-12-30,14:00,Pinguins Bremerhaven,Grizzlys Wolfsburg,7.5354996,0.0,0.0,20.966715,3.0
34,Wed,2024-01-03,19:30,Löwen Frankfurt,Grizzlys Wolfsburg,7.8855,0.0,0.0,25.77962,1.0
35,Fri,2024-01-05,19:30,Iserlohn Roosters,Grizzlys Wolfsburg,2.6855001,1.4,0.0,4.896529,61.0
36,Sun,2024-01-07,14:00,Grizzlys Wolfsburg,Düsseldorfer EG,-0.8145,0.0,0.0,13.979872,3.0
37,Fri,2024-01-12,19:30,Augsburger Panther,Grizzlys Wolfsburg,0.9105,0.0,0.0,16.75064,3.0
38,Sun,2024-01-14,19:00,Grizzlys Wolfsburg,Straubing Tigers,1.4105,0.0,0.0,22.930048,3.0
39,Fri,2024-01-19,19:30,Grizzlys Wolfsburg,Schwenninger Wild Wings,-0.2895,0.0,0.0,24.535526,2.0
40,Sun,2024-01-21,19:00,Iserlohn Roosters,Grizzlys Wolfsburg,3.3105001,0.0,0.0,22.91026,3.0
41,Fri,2024-01-26,19:30,Grizzlys Wolfsburg,Eisbären Berlin,5.1355,0.0,0.0,23.157824,1.0
42,Sun,2024-01-28,14:00,Löwen Frankfurt,Grizzlys Wolfsburg,7.9855,0.0,0.0,6.3690495,0.0
43,Fri,2024-02-02,19:30,Grizzlys Wolfsburg,ERC Ingolstadt,7.8605,0.1,0.0,28.71437,51.0
44,Sun,2024-02-04,16:30,Grizzlys Wolfsburg,EHC Red Bull München,8.0605,0.1,0.0,27.021591,3.0
46,Thu,2024-02-15,19:30,Adler Mannheim,Grizzlys Wolfsburg,11.785501,0.0,0.0,10.483357,3.0
47,Sun,2024-02-18,14:00,Grizzlys Wolfsburg,Pinguins Bremerhaven,11.4855,0.0,0.0,10.446206,3.0
45,Tue,2024-02-20,19:30,Grizzlys Wolfsburg,Düsseldorfer EG,7.5105,0.0,0.0,13.849477,3.0
48,Fri,2024-02-23,19:30,Schwenninger Wild Wings,Grizzlys Wolfsburg,5.2355,0.0,0.0,11.525623,0.0
49,Sun,2024-02-25,16:30,Augsburger Panther,Grizzlys Wolfsburg,8.1105,0.0,0.0,13.479583,1.0
50,Fri,2024-03-01,19:30,Grizzlys Wolfsburg,Kölner Haie,9.210501,0.0,0.0,11.792404,3.0
51,Sun,2024-03-03,14:00,Grizzlys Wolfsburg,Nürnberg Ice Tigers,12.7355,0.0,0.0,16.516901,3.0
52,Fri,2024-03-08,19:30,Straubing Tigers,Grizzlys Wolfsburg,4.5355,0.0,0.0,16.563911,0.0
