Model,RMSE,MAE,MAPE,R²
Random Forest,319.67,228.33,12.18,0.617
Weighted Ensemble,322.74,236.69,12.64,0.61
Ensemble (RF+XGB+LGBM),323.53,237.61,12.7,0.608
LightGBM,331.8,251.51,13.79,0.587
Ridge (α=10.0),340.46,272.38,16.09,0.566
XGBoost,358.75,269.26,15.11,0.518
