Model,RMSE,MAE,MAPE,R²
Ridge (α=10),266.6,208.11,11.98,0.734
CatBoost,282.87,219.71,12.0,0.7
Weighted Ensemble,304.78,225.05,12.04,0.652
Ensemble (4 models),310.57,228.59,12.27,0.638
XGBoost,311.91,235.02,13.2,0.635
Random Forest,332.63,240.51,12.62,0.585
LightGBM,421.33,301.25,17.1,0.335
