spieltag,date,weekday,time,home_team,away_team,distance,season
42,2023-01-13,Friday,19.30,SC Bietigheim Steelers (GER)Grizzlys Wolfsburg (GER),"41. 43 Sun, Jan 15, 2023 14.00 Grizzlys Wolfsburg (GER)",,22-23
44,2023-01-20,Friday,19.30,Grizzlys Wolfsburg (GER),Straubing Tigers (GER),,22-23
45,2023-01-22,Sunday,14.00,Eisbären Berlin (GER),Grizzlys Wolfsburg (GER),,22-23
46,2023-01-24,Tuesday,19.30,Adler Mannheim (GER),Grizzlys Wolfsburg (GER),,22-23
47,2023-01-27,Friday,19.30,Grizzlys Wolfsburg (GER),ERC Ingolstadt (GER),,22-23
49,2023-02-03,Friday,19.30,Grizzlys Wolfsburg (GER),Kölner Haie (GER),,22-23
50,2023-02-05,Sunday,tba,Löwen Frankfurt (GER),Grizzlys Wolfsburg (GER),,22-23
51,2023-02-12,Sunday,14.00,Augsburger Panther (GER),Grizzlys Wolfsburg (GER),,22-23
52,2023-02-15,Wednesday,19.30,Grizzlys Wolfsburg (GER),Düsseldorfer EG (GER),,22-23
53,2023-02-17,Friday,19.30,EHC Red Bull München (GER)Grizzlys Wolfsburg (GER),"51. 54 Sun, Feb 19, 2023 14.00 Grizzlys Wolfsburg (GER)",,22-23
55,2023-02-22,Wednesday,19.30,SC Bietigheim Steelers (GER)Grizzlys Wolfsburg (GER),"53. 56 Fri, Feb 24, 2023 19.30 Schwenninger Wild Wings (GEGRri)zzlys Wolfsburg (GER)",,22-23
57,2023-02-26,Sunday,16.30,Grizzlys Wolfsburg (GER),Adler Mannheim (GER),,22-23
59,2023-03-03,Friday,19.30,Grizzlys Wolfsburg (GER),Düsseldorfer EG (GER),,22-23
60,2023-03-05,Sunday,14.00,ERC Ingolstadt (GER),Grizzlys Wolfsburg (GER),,22-23
