Tag,Anzahl Tickets,Gesamteinnahmen brutto,Season
31.05.2022,0,,22-23
02.09.2022,1417,19466.00,22-23
04.09.2022,1059,14053.00,22-23
16.09.2022,1509,24121.00,22-23
25.09.2022,1473,15696.00,22-23
27.09.2022,987,7880.00,22-23
09.10.2022,1336,20676.00,22-23
12.10.2022,892,11520.00,22-23
16.10.2022,1146,11196.00,22-23
18.10.2022,252,3813.00,22-23
23.10.2022,1253,22158.00,22-23
30.10.2022,1707,22918.00,22-23
04.11.2022,1124,21524.50,22-23
15.11.2022,1066,20064.00,22-23
18.11.2022,1027,20012.00,22-23
25.11.2022,1125,19712.50,22-23
02.12.2022,1078,17960.00,22-23
08.12.2022,920,21239.80,22-23
13.12.2022,540,14206.20,22-23
18.12.2022,1462,27484.00,22-23
21.12.2022,2188,41957.90,22-23
26.12.2022,2263,45987.00,22-23
28.12.2022,2597,50441.00,22-23
02.01.2023,1170,20574.00,22-23
08.01.2023,1951,32695.50,22-23
15.01.2023,2660,45392.50,22-23
20.01.2023,1165,22199.00,22-23
27.01.2023,1571,29069.50,22-23
03.02.2023,2068,39064.00,22-23
15.02.2023,1980,16222.00,22-23
19.02.2023,3492,65254.00,22-23
26.02.2023,2367,41539.00,22-23
03.03.2023,2537,43029.50,22-23
17.03.2023,3910,82039.50,22-23
22.03.2023,3287,71489.00,22-23
26.03.2023,2980,62429.00,22-23
02.04.2023,3480,84201.00,22-23
06.04.2023,4312,101214.00,22-23
10.04.2023,3467,81175.50,22-23
16.04.2023,0,,22-23
21.04.2023,0,,22-23
