spieltag,date,weekday,time,home_team,away_team,distance,season,datetime,ticket_count,gross_revenue,season_tickets_sold,season_tickets_revenue,total_season_tickets,total_season_revenue
15,2023-10-29,Sunday,19.0,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,23-24,2023-10-29 19:00:00,1910.0,28302.5,1093,372400.0,56215,1568768.82
18,2023-11-05,Sunday,14.0,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,23-24,2023-11-05 14:00:00,1642.0,28977.5,1093,372400.0,56215,1568768.82
19,2023-11-16,Thursday,18.0,Grizzlys Wolfsburg,Schwenningen,,23-24,2023-11-16 18:00:00,1161.0,23914.0,1093,372400.0,56215,1568768.82
23,2023-12-01,Friday,19.3,Grizzlys Wolfsburg,Augsburger Panther,588.0,23-24,2023-12-01 19:03:00,1547.0,30982.5,1093,372400.0,56215,1568768.82
26,2023-12-10,Sunday,14.0,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,23-24,2023-12-10 14:00:00,2324.0,54003.76,1093,372400.0,56215,1568768.82
27,2023-12-15,Friday,19.3,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,23-24,2023-12-15 19:03:00,1297.0,29694.5,1093,372400.0,56215,1568768.82
28,2023-12-17,Sunday,19.0,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,23-24,2023-12-17 19:00:00,1233.0,25545.76,1093,372400.0,56215,1568768.82
30,2023-12-23,Saturday,16.3,Grizzlys Wolfsburg,Adler Mannheim,442.0,23-24,2023-12-23 16:03:00,2524.0,57317.0,1093,372400.0,56215,1568768.82
32,2023-12-28,Thursday,19.3,Grizzlys Wolfsburg,EHC Red Bull München,600.0,23-24,2023-12-28 19:03:00,2790.0,63248.09,1093,372400.0,56215,1568768.82
36,2024-01-07,Sunday,14.0,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,23-24,2024-01-07 14:00:00,2375.0,41548.5,1093,372400.0,56215,1568768.82
38,2024-01-14,Sunday,19.0,Grizzlys Wolfsburg,Straubing Tigers,560.0,23-24,2024-01-14 19:00:00,1117.0,25706.5,1093,372400.0,56215,1568768.82
39,2024-01-19,Friday,19.3,Grizzlys Wolfsburg,Schwenningen,,23-24,2024-01-19 19:03:00,1397.0,25344.5,1093,372400.0,56215,1568768.82
41,2024-01-26,Friday,19.3,Grizzlys Wolfsburg,Eisbären Berlin,228.0,23-24,2024-01-26 19:03:00,2432.0,61437.0,1093,372400.0,56215,1568768.82
43,2024-02-02,Friday,19.3,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,23-24,2024-02-02 19:03:00,1455.0,30981.5,1093,372400.0,56215,1568768.82
44,2024-02-04,Sunday,16.3,Grizzlys Wolfsburg,EHC Red Bull München,600.0,23-24,2024-02-04 16:03:00,1825.0,39458.76,1093,372400.0,56215,1568768.82
47,2024-02-18,Sunday,14.0,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,23-24,2024-02-18 14:00:00,2755.0,61270.0,1093,372400.0,56215,1568768.82
45,2024-02-20,Tuesday,19.3,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,23-24,2024-02-20 19:03:00,,,1093,372400.0,56215,1568768.82
50,2024-03-01,Friday,19.3,Grizzlys Wolfsburg,Kölner Haie,376.0,23-24,2024-03-01 19:03:00,2600.0,56451.02,1093,372400.0,56215,1568768.82
51,2024-03-03,Sunday,14.0,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,23-24,2024-03-03 14:00:00,2183.0,46467.76,1093,372400.0,56215,1568768.82
2,2024-09-22,Sunday,16.30,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,24-25,2024-09-22 16:30:00,1944.0,32649.5,1144,428163.0,47118,1434539.12
